date,stock,action,quantity,price,value,reasoning,review_date
2025-12-24,GROWW.NS,SELL,1000,175.0,175000.0,,
2026-01-01,GROWW.NS,BUY,300,155.0,46500.0,,
2026-01-01,GROWW.NS,BUY,250,155.05,38762.5,,
2026-01-01,GODFRYPHLP.NS,BUY,10,2275.0,22750.0,,
2026-01-01,GODFRYPHLP.NS,BUY,10,2301.5,23015.0,,
2026-01-01,GODFRYPHLP.NS,BUY,30,2284.0,68520.0,,
2026-01-02,KAYNES.NS,BUY,10,3901.84,39018.4,,
2026-01-05,ANANTRAJ.NS,SELL,150,596.16,89424.0,,
2026-01-06,GROWW.NS,BUY,500,155.72,77860.0,,
2026-01-06,GROWW.NS,BUY,500,155.01,77505.0,,
2026-01-28,EPACKPEB.NS,BUY,100,189.0,18900.0,,
2026-01-28,EPACKPEB.NS,BUY,200,190.23,38046.0,,
2026-01-29,ARTEMISMED.NS,BUY,100,236.85,23685.0,,
2026-01-29,GROWW.NS,SELL,1000,175.13,175130.0,,
2026-02-01,GROWW.NS,BUY,500,159.91,79955.0,,
2026-02-01,BANCOINDIA.NS,BUY,100,589.5,58950.0,,
2026-02-03,SUZLON.NS,SELL,1581,49.14,77690.34,,
2026-02-18,LT.NS,SELL,1,4276.0,4276.0,,
2026-02-18,GODFRYPHLP.NS,SELL,50,2457.0,122850.0,,
